
13-02-2018 09:54:45:802 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-54-39-912\Phase 2 - Round 12\A"
13-02-2018 09:54:45:802 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-54-39-912\Phase 2 - Round 12\A"
13-02-2018 09:54:45:802 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:54:45:881 - I: 	Output from bot: ['Destroyer', 'Battleship', 'Carrier', 'Cruiser']
13-02-2018 09:54:45:881 - I: 	Output from bot: damaged
13-02-2018 09:54:45:881 - I: 	Output from bot: 4 , 4
13-02-2018 09:54:45:881 - I: 	Output from bot: damaged
13-02-2018 09:54:45:881 - I: 	Output from bot: 4 , 5
13-02-2018 09:54:45:881 - I: 	Output from bot: damaged
13-02-2018 09:54:45:881 - I: 	Output from bot: 4 , 6
13-02-2018 09:54:45:881 - I: 	Output from bot: damaged
13-02-2018 09:54:45:881 - I: 	Output from bot: 6 , 1
13-02-2018 09:54:45:881 - I: 	Output from bot: [(4, 6), (4, 3), (4, 7), (4, 4)]
13-02-2018 09:54:45:881 - I: 	Output from bot: 4
13-02-2018 09:54:45:881 - I: 	Output from bot: single
13-02-2018 09:54:45:881 - I: 	Output from bot: 62
13-02-2018 09:54:45:881 - I: 	Output from bot: !
13-02-2018 09:54:45:881 - I: 	Output from bot: [(5, 1), (6, 2), (6, 0), (7, 1)]
13-02-2018 09:54:45:897 - I: 	Output from bot: 
13-02-2018 09:54:45:897 - E: 	Output from bot: 
13-02-2018 09:54:45:901 - I: 	Your bots total execution time was 00:00:00.0990352
