
13-02-2018 09:54:49:583 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-54-39-912\Phase 2 - Round 21\A"
13-02-2018 09:54:49:583 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-54-39-912\Phase 2 - Round 21\A"
13-02-2018 09:54:49:583 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:54:49:645 - I: 	Output from bot: ['Destroyer', 'Battleship', 'Cruiser']
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 4 , 1
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 4 , 4
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 4 , 5
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 4 , 6
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 5 , 1
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 6 , 1
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 7 , 1
13-02-2018 09:54:49:645 - I: 	Output from bot: damaged
13-02-2018 09:54:49:645 - I: 	Output from bot: 8 , 1
13-02-2018 09:54:49:645 - I: 	Output from bot: [(3, 1), (6, 1), (4, 6), (4, 3), (4, 7), (4, 4), (4, 1), (7, 1), (5, 1), (8, 1), (6, 1), (9, 1)]
13-02-2018 09:54:49:645 - I: 	Output from bot: 12
13-02-2018 09:54:49:645 - I: 	Output from bot: pair
13-02-2018 09:54:49:645 - I: 	Output from bot: random
13-02-2018 09:54:49:645 - I: 	Output from bot: priority 1
13-02-2018 09:54:49:661 - I: 	Output from bot: 
13-02-2018 09:54:49:661 - E: 	Output from bot: 
13-02-2018 09:54:49:661 - I: 	Your bots total execution time was 00:00:00.0798042
