
09-02-2018 15:50:32:847 - I: 	Loaded bot ..\Reference Bots\Python3
09-02-2018 15:50:32:863 - I: 	Loaded bot ..\Reference Bots\BotJuara
09-02-2018 15:50:32:863 - I: 	Registered player py3Bot
09-02-2018 15:50:32:863 - I: 	Registered player BotJuara
09-02-2018 15:50:32:879 - I: 		OK!
09-02-2018 15:50:34:519 - I: 	Added Command PlaceShipCommand for Player py3Bot
09-02-2018 15:50:34:660 - I: 	Added Command DoNothingCommand for Player BotJuara
09-02-2018 15:50:34:660 - D: 	Beginning round processing
09-02-2018 15:50:34:660 - D: 	Processing Player Commands
09-02-2018 15:50:34:676 - E: 	Failed to process command DoNothingCommand for player BotJuaraGameEngine.Exceptions.InvalidCommandException: There was a problem during the placement of player's BotJuara ships (DoNothing), the round will be played over
   at GameEngine.Engine.GameRoundProcessor.ProcessPlayerCommands() in C:\Development\Entelect Challenge\2017-Battleships\GameEngine\Battleships\GameEngine\Engine\GameRoundProcessor.cs:line 215
