
13-02-2018 09:58:52:564 - D: 	Executing bot with following commands python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-58-47-610\Phase 2 - Round 10\A"
13-02-2018 09:58:52:564 - I: 	Executing process python.exe "bot.py" A "C:\Users\Rama R\Desktop\ITB-BattleshipBot\Game Engine\Replays\2018-02-13 09-58-47-610\Phase 2 - Round 10\A"
13-02-2018 09:58:52:580 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 09:58:52:673 - I: 	Output from bot: ['Destroyer', 'Battleship', 'Carrier', 'Cruiser']
13-02-2018 09:58:52:673 - I: 	Output from bot: damaged
13-02-2018 09:58:52:673 - I: 	Output from bot: 6 , 1
13-02-2018 09:58:52:673 - I: 	Output from bot: damaged
13-02-2018 09:58:52:673 - I: 	Output from bot: 7 , 1
13-02-2018 09:58:52:673 - I: 	Output from bot: damaged
13-02-2018 09:58:52:673 - I: 	Output from bot: 8 , 1
13-02-2018 09:58:52:673 - I: 	Output from bot: [(5, 1), (8, 1), (6, 1), (9, 1)]
13-02-2018 09:58:52:673 - I: 	Output from bot: 4
13-02-2018 09:58:52:673 - I: 	Output from bot: pair
13-02-2018 09:58:52:673 - I: 	Output from bot: !
13-02-2018 09:58:52:673 - I: 	Output from bot: [(5, 1)]
13-02-2018 09:58:52:673 - I: 	Output from bot: 
13-02-2018 09:58:52:673 - E: 	Output from bot: 
13-02-2018 09:58:52:673 - I: 	Your bots total execution time was 00:00:00.1180035
